id,em,name,code
1,0,не выбрано,MSNG
2,6,+МосЭнерго,MSNG
3,2374525,3M Company,MOEX.MMM-RM:FQBR
4,2718341,ABIOMED,MOEX.ABMD-RM:FQBR
5,2718343,ADM,MOEX.ADM-RM:FQBR
6,2718344,ADP,MOEX.ADP-RM:FQBR
7,399716,AGRO-гдр,AGRO
8,2676758,AMC,MOEX.AMC-RM:FQBR
9,2028078,AMD Inc.,AMD-RM
10,2718349,AOSmith,MOEX.AOS-RM:FQBR
11,2501834,APA Corp,MOEX.APA-RM:FQBR
12,2028096,ATT,T-RM
13,2139229,AbbVie,MOEX.ABBV-RM:FQBR
14,2190351,Abbott,MOEX.ABT-RM:FQBR
15,2718342,Acadia,MOEX.ACAD-RM:FQBR
16,2028090,Activision,ATVI-RM
17,2139230,Adobe,MOEX.ADBE-RM:FQBR
18,2718345,Aflac,MOEX.AFL-RM:FQBR
19,2718350,AirProduct,MOEX.APD-RM:FQBR
20,2718347,Albemarle,MOEX.ALB-RM:FQBR
21,2676757,Alcoa,MOEX.AA-RM:FQBR
22,2627070,Alteryx,MOEX.AYX-RM:FQBR
23,2718388,Altria,MOEX.MO-RM:FQBR
24,2139228,AmAirlines,MOEX.AAL-RM:FQBR
25,2627069,AmExpress,MOEX.AXP-RM:FQBR
26,2028087,Amazon,AMZN-RM
27,2374508,Amgen,MOEX.AMGN-RM:FQBR
28,2676759,Amphenol,MOEX.APH-RM:FQBR
29,2718348,Ansys,MOEX.ANSS-RM:FQBR
30,2501833,Anthem,MOEX.ANTM-RM:FQBR
31,2052021,Apple,AAPL-RM
32,2434057,AppliedMtr,MOEX.AMAT-RM:FQBR
33,2718346,Assurant,MOEX.AIZ-RM:FQBR
34,2718351,AtmosEnerg,MOEX.ATO-RM:FQBR
35,2139232,BABA-адр,MOEX.BABA-RM:FQBR
36,2718352,BD,MOEX.BDX-RM:FQBR
37,2139233,BIDU-адр,MOEX.BIDU-RM:FQBR
38,2139235,BMS Co,MOEX.BMY-RM:FQBR
39,2627071,BNYMellon,MOEX.BK-RM:FQBR
40,2543468,BOfAmerica,MOEX.BAC-RM:FQBR
41,2374510,Baker Hugh,MOEX.BKR-RM:FQBR
42,2374511,BerkshireB,MOEX.BRKB-RM:FQBR
43,2718356,BeyondMeat,MOEX.BYND-RM:FQBR
44,2718355,BilibiDR Z,MOEX.BILI-RM:FQBR
45,2139234,Biogen,MOEX.BIIB-RM:FQBR
46,2543469,BlackRock,MOEX.BLK-RM:FQBR
47,2627072,Bluebird,MOEX.BLUE-RM:FQBR
48,2028080,Boeing,BA-RM
49,2374509,Booking,MOEX.BKNG-RM:FQBR
50,2434058,BostonSci,MOEX.BSX-RM:FQBR
51,2139231,Broadcom,MOEX.AVGO-RM:FQBR
52,2718354,BrownFormB,MOEX.BFB-RM:FQBR
53,2190352,CAT,MOEX.CAT-RM:FQBR
54,2543470,CF Industr,MOEX.CF-RM:FQBR
